Date,Time,Retrieved_AOD,Truth_AOD,Relative_Difference,Absolute_Difference,Zip_File
20060808,1800Z,4.9296,0.3517370820045471,13.015013634349398,4.577862917995453,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,4.7839,0.34795477986335754,12.748625617037495,4.4359452201366425,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,4.5361,0.3457096219062805,12.121127421873451,4.19039037809372,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,3.9794,0.33827582001686096,10.763773123960357,3.641124179983139,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,3.7379,0.3324486017227173,10.2435425525346,3.4054513982772825,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,3.4319,0.32838815450668335,9.450742369667765,3.103511845493317,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,2.7245,0.311199814081192,7.754825281769539,2.413300185918808,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060808,1800Z,2.6653,0.30629318952560425,7.701793220176046,2.3590068104743955,ss450-g5nr.leV120.GRASP.example_20060808_1800Z.polarimeter07.20060808_1800z.zip
20060811,1300Z,1.1256,1.6460922956466675,-0.3161987313974956,0.5204922956466675,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.0319,1.5354981422424316,-0.32797053176956636,0.5035981422424316,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.232,1.8481471538543701,-0.33338641491256554,0.6161471538543701,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.1325,1.723970651626587,-0.3430862648784231,0.5914706516265869,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.0449,1.5504628419876099,-0.32607220779280693,0.5055628419876099,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.7502,2.4121243953704834,-0.27441553040999656,0.6619243953704834,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.6259,2.250596046447754,-0.27756915659464876,0.624696046447754,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.4612,2.0248005390167236,-0.2783486709710267,0.5636005390167236,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.833,2.4916324615478516,-0.264337727057343,0.6586324615478516,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.7042,2.3249847888946533,-0.2670059571399551,0.6207847888946534,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.526,2.092013120651245,-0.2705590682313908,0.5660131206512451,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.7658,2.4354681968688965,-0.27496487029879507,0.6696681968688964,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.6411,2.272487163543701,-0.2778397051797293,0.6313871635437012,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.4717,2.044649124145508,-0.2802188000764936,0.5729491241455078,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.7246,2.403592586517334,-0.28249071424419514,0.6789925865173341,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.6017,2.242588996887207,-0.2857808531910144,0.6408889968872071,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
20060811,1300Z,1.4343,2.0175116062164307,-0.2890747217609147,0.5832116062164308,ss450-g5nr.leV120.GRASP.example_20060811_1300Z.polarimeter07.20060811_1300z.zip
